day,market_cap_BTC,price_BTC,volume_BTC,market_cap_ETH,price_ETH,volume_ETH,market_cap_DOGE,price_DOGE,volume_DOGE,market_cap_XRP,price_XRP,volume_XRP,market_cap_ADA,price_ADA,volume_ADA,market_cap_SOL,price_SOL,volume_SOL,market_cap_TRX,price_TRX,volume_TRX,market_cap_DOT,price_DOT,volume_DOT,market_cap_LTC,price_LTC,volume_LTC,market_cap_AVAX,price_AVAX,volume_AVAX,fear_value,fear_classification
2021-03-29,1039333584621.1438,55728.10132780653,49315845081.42435,194647792269.71985,1689.0367982059097,19859272131.74501,7015286857.656734,0.05440374211637906,833678868.3939631,25262286543.943695,0.5508514715605831,3064078618.6259146,38106805966.64899,1.1911259337144882,2864842098.687992,4849136131.610755,18.008069673329885,534850426.5573704,4548184792.017738,0.06351460866546163,1756042466.1314497,31468649102.246227,32.170750958622584,872725521.1743374,12293800338.088766,184.17012219467884,3360375051.8501472,3650238012.0904694,28.624516804103145,228476510.1166219,72,Greed
2021-03-30,1075942162536.995,57634.92869447539,57387039705.47129,209088522651.80023,1817.626388088868,32618518751.6075,7079729288.069406,0.05489761687002298,933464547.9783945,25942283784.411938,0.5658188175083124,3316079018.5024614,38374558120.76606,1.2009593992210437,2974754356.4936566,5060496028.96088,18.884890865843666,266282434.7053076,4645040066.718666,0.06477393588405077,1588600433.9234376,33490535900.76816,34.326400141737494,837849935.5380555,12940782960.662046,193.8623951599382,5157616431.055876,3804266244.0201573,29.600558910849777,219703944.8350976,72,Greed
2021-03-31,1095293012032.8433,58668.628336761,52387542500.621956,212080597430.12268,1840.294951985396,28496809577.711266,7046811980.471197,0.054648888880952526,1141286834.2853527,25985680163.48191,0.5665694123161319,3796053087.5094423,38747164636.98202,1.2113713624549767,2870621694.791581,5140859722.050636,19.175755751876615,320692680.3417659,4720243691.524327,0.06580062770978687,1812529525.6010575,33200100559.216576,33.925085875005024,972088014.2611275,13065676967.193205,195.7333987399266,5073272481.985069,3790153625.7350087,29.62185815751755,221563714.6856491,76,Extreme Greed
2021-04-01,1098127310946.8978,58817.3738884188,57495844477.9185,221210690537.73203,1915.8325358462234,28955571443.672318,7014689872.852019,0.05438168841092798,1042337641.2255398,26345850652.65566,0.5738184047382427,4729377042.2717085,38261200550.94287,1.1921924669843982,3359856102.2954535,5229172252.453522,19.48663194355817,255371895.72794142,6602014663.817924,0.09190354372614341,9550467604.062836,36315780875.424095,36.88846964991404,2749780924.550207,13117192834.593618,196.5051441183434,4220727720.1976953,3667524624.1772633,28.649511340932087,224818137.61054862,74,Greed
2021-04-02,1098583823874.2307,58801.194843878126,54320681400.56781,227187483748.8278,1970.4711995232753,32076778812.4586,7924888032.648992,0.06159286209766597,5955711021.80794,26156246584.42219,0.5706176387429038,4048061361.3217688,37885255531.37811,1.1834326364912569,2627207220.4541893,5115358904.3969,19.05545051591954,213522852.9244486,6185926428.28518,0.0861440566799047,6080759410.958924,36943423386.29301,37.62466260171384,2112188584.2797937,13533388233.860222,202.7400556535758,5521685342.201195,3628818616.8417006,28.352805253336,179940714.24838203,74,Greed
2021-04-03,1103133931136.5508,59060.02678333801,52224918752.08043,246446284273.69153,2134.101788297294,35467665330.67185,7507812667.994134,0.05786700851554392,2448301264.82805,27689105144.11829,0.6044974611582614,4525145344.691889,38175120188.83439,1.190365048482589,3115355141.807112,5287278539.188044,19.73831924627352,162070984.46377787,6571170922.982676,0.092249320886347,4108102987.44753,40042895373.819046,40.9438709604607,2109672607.7135742,14186398806.41722,211.86207537489673,5861433312.257645,3703609746.4137344,28.920741371353532,177255510.81359163,73,Greed
2021-04-04,1067101827372.9529,57060.40665471088,52067853987.600494,233519912234.63,2016.6672472930366,34872897876.651085,7298466978.786948,0.056190733054659645,1457244564.0403645,26697487988.47653,0.577287680424983,5518969358.259809,37354800049.67576,1.1657363156624991,3541823026.093735,6076766593.933186,22.598963045163597,600716419.5680904,7321302883.804311,0.10164505964634299,8364754397.171346,41035684386.907776,41.70150320376947,3953738785.6009393,13154031597.301912,195.71964933352416,5513990967.657653,3614941150.090654,28.203242721417254,426224466.8292235,74,Greed
2021-04-05,1087344280109.6896,58228.802623466196,46156767978.177345,239721240194.1402,2077.755212422407,26817722961.480415,7463266115.922541,0.05789756018165116,1303803800.1718612,28867765642.151623,0.6333526453068182,4103397668.682517,37920229258.21521,1.1834195167997104,2514927782.5973244,6459213598.5183325,24.02282911560326,536246712.90027696,9144431642.185305,0.12820995736775656,10746448326.912264,43038662965.1209,44.23991890458163,2203439508.717633,13522655401.698965,202.57926997654562,4571795180.438586,3748901258.8338666,29.258499534139006,203736404.48602337,71,Greed
2021-04-06,1096202611389.9541,58706.81559311396,54670173277.08731,242118495324.83636,2097.7963827792596,30867393925.630993,7715037291.54644,0.05981544389374014,1822202972.9514108,41446009348.247505,0.9074547526990332,21036746727.320385,38866154208.52337,1.2138169649551138,3093929482.2078247,6143755028.531597,22.942985835974703,324307982.04602367,9985858390.58741,0.13849001049301585,13018731030.003437,44120784681.118515,45.608300004049674,2101421530.2666874,14693380803.63162,220.1175929036179,7413079976.046483,3988965459.3844404,31.15764993777871,423543959.12471753,75,Greed
2021-04-07,1084341670320.8142,58062.17872433649,61497704158.13829,244306254505.299,2115.0554517461082,33391498272.783157,8342298639.844954,0.06463255671171673,2979685710.637315,50389991767.084885,1.097633770923746,29325146992.950333,40174301241.53415,1.255331700688716,5716309191.912532,6677871480.251414,24.989549183579577,404116807.87156296,8954301783.333271,0.12492460298946804,9499933826.253841,42688387270.04445,43.42494300781044,2250595124.9908485,15857642401.330557,237.5590833148832,11548226718.673569,4064413025.4978065,31.6387730003081,402859806.21853745,72,Greed
2021-04-08,1050759681844.6099,56134.41738866435,67617613532.43307,229324263726.26553,1989.1480619041722,39604003543.54452,7655108665.350827,0.058961028299255425,2977233569.2485094,42704151358.50662,0.9221401420253109,18282720202.98182,37822168969.25518,1.1771597102783828,4444431697.675934,7244692415.792232,26.674732954277772,714313720.050788,8072075620.142329,0.11143087999764008,8323619560.720927,39229624713.84908,39.7504883353942,2407805210.9192314,14765003095.389482,220.26617134830127,10017158494.614027,3822599952.0515046,29.581033707640348,333267898.70347536,73,Greed
2021-04-09,1083362883828.1199,58065.644024815316,48714359354.07226,240116470865.16214,2081.3540625398964,27145394978.191498,7962866152.083406,0.06167975458140067,1254061265.4891999,48192343014.51859,1.050768096482137,11293815426.956215,39107779970.63151,1.2299092109601504,2806106617.456021,7238834909.900146,27.00514637240972,445724093.1060517,8877512597.775274,0.12391281075521406,6225961258.938054,40700735346.47808,41.40897804173473,1386402238.6371279,15100328479.297188,226.4176743255437,6204546627.068569,3934463236.1451817,30.762516784121452,209480602.2958724,70,Greed
2021-04-10,1085794662404.731,58152.993262141834,45880879041.76103,238825167325.68292,2069.6677960855295,25076796421.07279,7936596412.156709,0.061538922422549734,1235176274.2063663,47443263646.75937,1.0249751336804138,8727138023.869122,38573434366.33114,1.2043891358213494,2057819055.5512838,7509326042.822403,27.784698122914115,351754156.4264195,8323623723.444961,0.1162904151261407,3766873571.484107,40088795175.58917,40.78441349825649,1063984405.5106469,14748683447.818895,221.17164050623288,5135001489.413881,4030114768.9579134,31.471558327453188,268529509.857372,70,Greed
2021-04-11,1116221525334.3267,59979.39281571831,61788197398.73793,246336623343.47812,2142.7960653929085,32243242817.777157,8249317321.210909,0.06388288909608833,1492859570.0593505,62809519330.02565,1.3712758232576907,23515619924.123764,39035365860.85623,1.2177235066359833,2638775983.397099,7243681262.228849,26.833966062021243,340108404.22059625,8984059739.508492,0.12621564379229344,4610974849.047191,40822769763.2672,41.59194183003013,1301909092.0272765,16688108796.877014,252.6018714559594,9145062505.46053,4114354954.070793,32.07559498535796,374040339.45845217,76,Extreme Greed
